Sales Document;Sales Document Item;PO;Purchase Order Date;Sold-To Party;Customer;Country;Ship to;Order Quantity;QTY not delivered;Material;Customer Material;Description;Open value;Document Currency;1. confirmed ship date;Current ship date;Information 'Current ship date';'# of Days moved;Incoterms;in transit without POD
29260859;80;PO-21-13977;19.10.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;4;3;94056520;;Finntip Flex Filter 100ul, 10x96/rack, s;209,25;EUR;16.03.2022;2022-06-08;;57;FCA;C
29261166;70;PO-21-14103;21.10.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;160;160;342089-0004;;BOTTLE, N/M,HDPE,125 EU;19.008,00;EUR;15.12.2021;2022-05-18;;109;FCA;
29261166;72;PO-21-14103;21.10.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;80;80;342089-0004;;BOTTLE, N/M,HDPE,125 EU;9.504,00;EUR;16.02.2022;2022-05-11;;59;FCA;
29261187;20;PO-21-14102;21.10.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;11;11;342089-0004;;BOTTLE, N/M,HDPE,125 EU;1.306,80;EUR;29.12.2021;2022-05-18;;99;FCA;
29261187;40;PO-21-14102;21.10.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342820-0112;;CLSR,YELLOW CDR,STER PPC EU;138,00;EUR;26.01.2022;2022-08-17;;140;FCA;
29262066;100;PO-21-14358;26.10.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;5;5;5000-0020;;CRYOGENIC VIAL 2.0ML;602,50;EUR;13.04.2022;2022-08-17;;85;FCA;
29262238;30;PO-21-14373;26.10.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;4;4;4116-0250;;STRL DISP BFLD FLSK 250, VE EU;255,58;EUR;23.03.2022;2022-07-27;;86;FCA;
29262893;40;PO-21-14546;29.09.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;383110-42;;Cert Cln PETG Biotainer 1L S Lo Prtcl;995,00;EUR;10.11.2021;2023-03-29;;352;FCA;C
29265701;10;PO-21-15232;15.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;2;2;347627;;1.8ML CRYOTB EXT THD W/O PRNT;826,10;EUR;19.01.2022;2022-08-17;;145;FCA;
29265701;30;PO-21-15232;15.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;342020-0500;;STER. PETG MEDIA BTL., 500ML EM;103,50;EUR;03.08.2022;2023-08-09;;257;FCA;
29266261;60;PO-21-15389;17.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;117;53;362015-0500;;BTL,SQ PC 500ML,TRAY W/O CL;3.816,00;EUR;24.11.2021;2022-07-27;;171;FCA;C
29266340;30;PO-21-15396;17.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;10;10;AB-1815;;VersiCap Mat/Flat Caps;248,10;EUR;09.03.2022;2022-08-10;;106;FCA;
